account,closed_pnl_sum,closed_pnl_mean,closed_pnl_std,closed_pnl_count,size_usd_sum,size_usd_mean,is_profitable_mean,leverage_approx_mean,win_rate,total_pnl,avg_pnl,trade_count,total_volume
0x083384f897ee0f19899168e3b1bec365f52a9012,1600229.82,419.1278,4692.4523,3818,61697263.97,16159.5767,0.3596,110.7876,0.3596,1600229.82,419.1278,3818,61697263.97
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,37706.1731,9.7862,180.9481,3853,6780291.47,1759.7434,0.443,443312.0027,0.443,37706.1731,9.7862,3853,6780291.47
0x271b280974205ca63b716753467d5a371de622ab,31763.0884,27.7165,119.6393,1146,12500778.8,10908.1839,0.4302,15242.645,0.4302,31763.0884,27.7165,1146,12500778.8
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,132315.4817,9.974,113.4602,13266,6752612.92,509.0165,0.4381,2376.1448,0.4381,132315.4817,9.974,13266,6752612.92
0x2c229d22b100a7beb69122eed721cee9b24011dd,168627.9841,52.1422,256.02,3234,10164169.56,3142.9096,0.5198,21.7787,0.5198,168627.9841,52.1422,3234,10164169.56
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,-27704.5674,-44.9021,636.8371,617,1168623.85,1894.0419,0.295,640230.6808,0.295,-27704.5674,-44.9021,617,1168623.85
0x39cef799f8b69da1995852eea189df24eb5cae3c,14456.9193,4.0281,730.4955,3589,17193375.42,4790.5755,0.3277,34364.3468,0.3277,14456.9193,4.0281,3589,17193375.42
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,53496.2472,161.1333,1279.8558,332,1143896.46,3445.4713,0.4759,6725.2121,0.4759,53496.2472,161.1333,332,1143896.46
0x420ab45e0bd8863569a5efbb9c05d91f40624641,199505.5927,520.9023,2228.3361,383,1987527.61,5189.3671,0.235,56432.8543,0.235,199505.5927,520.9023,383,1987527.61
0x430f09841d65beb3f27765503d0f850b8bce7713,416541.8723,396.3291,1783.0252,1051,2712102.36,2580.497,0.5699,0.2284,0.5699,416541.8723,396.3291,1051,2712102.36
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,101965.6431,12.2261,89.1187,8340,4342810.02,520.7206,0.3534,1094.8121,0.3534,101965.6431,12.2261,8340,4342810.02
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,674403.995,163.1359,876.6071,4134,37017401.44,8954.3787,0.4886,2353.5254,0.4886,674403.995,163.1359,4134,37017401.44
0x4f93fead39b70a1824f981a54d4e55b278e9f760,301287.8915,40.2845,660.9673,7479,127825348.87,17091.2353,0.3585,140123.4598,0.3585,301287.8915,40.2845,7479,127825348.87
0x513b8629fe877bb581bf244e326a047b249c4ff1,403501.6482,67.2503,725.0553,6000,164242111.22,27373.6852,0.4002,2318266.7642,0.4002,403501.6482,67.2503,6000,164242111.22
0x6d6a4b953f202f8df5bed40692e7fd865318264a,108518.6149,132.0178,508.1948,822,641060.49,779.8789,0.4915,105956396.2091,0.4915,108518.6149,132.0178,822,641060.49
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,425815.1951,375.4984,2982.6804,1134,10842259.34,9561.0753,0.4533,800965.3375,0.4533,425815.1951,375.4984,1134,10842259.34
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,393683.0142,289.8991,1584.8913,1358,2959751.83,2179.4932,0.2828,29.093,0.2828,393683.0142,289.8991,1358,2959751.83
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,361576.6227,40.4087,180.3819,8948,24657252.26,2755.616,0.8093,101.0333,0.8093,361576.6227,40.4087,8948,24657252.26
0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,14781.443,9.5119,72.6623,1554,5661783.44,3643.3613,0.4511,5826.2632,0.4511,14781.443,9.5119,1554,5661783.44
0x8170715b3b381dffb7062c0298972d4727a0a63b,196303.7928,63.9218,434.4081,3071,6910177.08,2250.1391,0.2862,2538.7609,0.2862,196303.7928,63.9218,3071,6910177.08
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,64521.8876,34.7639,330.2367,1856,11679706.01,6292.945,0.3314,19483708.8532,0.3314,64521.8876,34.7639,1856,11679706.01
0x8477e447846c758f5a675856001ea72298fd9cb5,77110.5788,6.8751,77.364,11216,9114660.57,812.6481,0.3162,2667.9206,0.3162,77110.5788,6.8751,11216,9114660.57
0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,109197.7781,38.9436,158.7186,2804,9260517.98,3302.6098,0.3092,3899261.3261,0.3092,109197.7781,38.9436,2804,9260517.98
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,89495.5229,6.6367,72.9141,13485,17628001.73,1307.2304,0.3508,542591.6812,0.3508,89495.5229,6.6367,13485,17628001.73
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,72846.4843,174.6918,976.0688,417,861809.4,2066.6892,0.5731,240.5752,0.5731,72846.4843,174.6918,417,861809.4
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,29677.2647,79.7776,264.1664,372,1202872.74,3233.5289,0.414,8.6672,0.414,29677.2647,79.7776,372,1202872.74
0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,21758.8318,40.7469,288.2661,534,4448323.26,8330.1934,0.3221,77311.9472,0.3221,21758.8318,40.7469,534,4448323.26
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2040922.426,141.6324,1377.483,14410,55900950.94,3879.3165,0.3407,106643.0299,0.3407,2040922.426,141.6324,14410,55900950.94
0xb899e522b5715391ae1d4f137653e7906c5e2115,22488.5008,4.6483,332.0834,4838,108877041.1,22504.5558,0.4386,26714.4958,0.4386,22488.5008,4.6483,4838,108877041.1
0xbaaaf6571ab7d571043ff1e313a9609a10637864,940157.2127,44.368,567.7894,21190,68036326.2,3210.7752,0.4675,1450.1368,0.4675,940157.2127,44.368,21190,68036326.2
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,337113.6572,136.0426,1511.3613,2478,18645667.53,7524.4825,0.3487,39492.3898,0.3487,337113.6572,136.0426,2478,18645667.53
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,811182.9788,22.2035,276.7433,36534,68055693.56,1862.8043,0.4347,2631.3186,0.4347,811182.9788,22.2035,36534,68055693.56
